ID,Cont1,Cont2,Cont3,Ord1,Ord2,Ord3,Nom1,Nom2,Nom3,A,Y,P(A=1|X)
1,20.0871,15.6859,135.029,4,2,0,4,3,3,0,31.2112,0.5
2,284.225,5.51997,74.278,0,3,3,2,3,3,0,20.8458,0.5
3,62.2001,75.9237,11.6757,1,3,3,4,1,3,0,94.7321,0.5
4,67.2597,38.8974,19.0805,0,0,2,3,2,0,1,22.4179,0.5
5,116.627,47.6393,63.5971,2,3,4,1,4,1,1,15.0723,0.5
6,265.454,46.0564,43.1308,4,0,2,2,3,4,1,21.5173,0.5
7,49.7542,16.5588,196.617,3,1,2,2,0,4,0,29.9679,0.5
8,35.1371,82.0883,50.7249,3,1,0,4,3,3,0,0.4875,0.5
9,26.3133,25.505,167.578,0,2,0,1,4,1,1,63.6878,0.5
10,245.078,45.2477,83.8128,4,1,4,1,4,2,1,19.114,0.5
11,14.568,62.7332,134.518,4,1,0,2,1,0,0,53.2881,0.5
12,186.602,37.6947,91.7044,4,0,3,0,4,2,1,12.4483,0.5
13,4.78002,40.9206,167.542,1,3,2,0,0,2,1,66.6412,0.5
14,146.176,43.301,103.594,0,1,1,4,2,0,0,43.0738,0.5
15,200.591,74.614,161.362,4,0,0,0,0,1,0,28.1982,0.5
16,78.6322,88.691,159.405,3,4,3,4,0,2,0,68.7704,0.5
17,78.1502,83.5018,71.7606,0,0,1,4,2,1,1,11.3406,0.5
18,258.474,82.4469,185.714,1,2,2,3,3,1,1,89.9747,0.5
19,148.405,32.5834,22.7788,3,4,2,2,4,0,0,15.139,0.5
20,142.722,64.5467,55.2326,4,4,1,0,0,1,0,79.841,0.5
21,169.871,24.2589,95.8891,3,3,0,3,0,1,0,35.2886,0.5
22,114.201,19.7206,54.3363,3,1,0,2,4,1,1,34.3212,0.5
23,183.138,54.8621,56.0423,1,1,2,4,1,0,0,6.9751,0.5
24,58.2943,63.5667,124.188,4,3,1,2,2,2,0,69.8267,0.5
25,5.07528,87.8724,129.734,1,4,3,0,1,0,0,50.6099,0.5
26,182.05,25.8912,153.958,1,3,2,1,0,0,0,89.6631,0.5
